CNAE,DESCRIÇÃO,SEÇÃO,DIVISÃO,GRUPO
133,"Cultivo de frutas de lavoura permanente, exceto laranja e uva","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras permanentes
134,Cultivo de café,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras permanentes
135,Cultivo de cacau,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras permanentes
139,Cultivo de plantas de lavoura permanente não especificadas anteriormente,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de lavouras permanentes
141,Produção de sementes certificadas,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de sementes e mudas certificadas
142,"Produção de mudas e outras formas de propagação vegetal, certificadas","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Produção de sementes e mudas certificadas
151,Criação de bovinos,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Pecuária
152,Criação de outros animais de grande porte,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Pecuária
153,Criação de caprinos e ovinos,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Pecuária
154,Criação de suínos,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Pecuária
155,Criação de aves,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Pecuária
159,Criação de animais não especificados anteriormente,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Pecuária
161,Atividades de apoio à agricultura,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita
162,Atividades de apoio à pecuária,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita
163,Atividades de pós-colheita,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita
170,Caça e serviços relacionados,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Caça e serviços relacionados
210,Produção florestal - florestas plantadas,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PRODUÇÃO FLORESTAL,Produção florestal - florestas plantadas
220,Produção florestal - florestas nativas,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PRODUÇÃO FLORESTAL,Produção florestal - florestas nativas
230,Atividades de apoio à produção florestal,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PRODUÇÃO FLORESTAL,Atividades de apoio à produção florestal
311,Pesca em água salgada,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PESCA E AQÜICULTURA,Pesca
312,Pesca em água doce,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PESCA E AQÜICULTURA,Pesca
321,Aqüicultura em água salgada e salobra,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PESCA E AQÜICULTURA,Aqüicultura
322,Aqüicultura em água doce,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",PESCA E AQÜICULTURA,Aqüicultura
500,Extração de carvão mineral,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE CARVÃO MINERAL,Extração de carvão mineral
600,Extração de petróleo e gás natural,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Extração de petróleo e gás natural
710,Extração de minério de ferro,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minério de ferro
721,Extração de minério de alumínio,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não-ferrosos
722,Extração de minério de estanho,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não-ferrosos
723,Extração de minério de manganês,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não-ferrosos
724,Extração de minério de metais preciosos,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não-ferrosos
725,Extração de minerais radioativos,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não-ferrosos
729,Extração de minerais metálicos não-ferrosos não especificados anteriormente,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não-ferrosos
810,"Extração de pedra, areia e argila",INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,"Extração de pedra, areia e argila"
891,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Extração de outros minerais não-metálicos
892,Extração e refino de sal marinho e sal-gema,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Extração de outros minerais não-metálicos
893,Extração de gemas (pedras preciosas e semipreciosas),INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Extração de outros minerais não-metálicos
899,Extração de minerais não-metálicos não especificados anteriormente,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,Extração de outros minerais não-metálicos
910,Atividades de apoio à extração de petróleo e gás natural,INDÚSTRIAS EXTRATIVAS,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,Atividades de apoio à extração de petróleo e gás natural
990,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",INDÚSTRIAS EXTRATIVAS,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural"
1011,"Abate de reses, exceto suínos",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Abate e fabricação de produtos de carne
1012,"Abate de suínos, aves e outros pequenos animais",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Abate e fabricação de produtos de carne
1013,Fabricação de produtos de carne,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Abate e fabricação de produtos de carne
1020,Preservação do pescado e fabricação de produtos do pescado,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Preservação do pescado e fabricação de produtos do pescado
1031,Fabricação de conservas de frutas,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Fabricação de conservas de frutas, legumes e outros vegetais"
1032,Fabricação de conservas de legumes e outros vegetais,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Fabricação de conservas de frutas, legumes e outros vegetais"
1033,"Fabricação de sucos de frutas, hortaliças e legumes",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Fabricação de conservas de frutas, legumes e outros vegetais"
1041,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de óleos e gorduras vegetais e animais
1042,"Fabricação de óleos vegetais refinados, exceto óleo de milho",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de óleos e gorduras vegetais e animais
1043,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de óleos e gorduras vegetais e animais
1051,Preparação do leite,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Laticínios
1052,Fabricação de laticínios,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Laticínios
1053,Fabricação de sorvetes e outros gelados comestíveis,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Laticínios
1061,Beneficiamento de arroz e fabricação de produtos do arroz,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1062,Moagem de trigo e fabricação de derivados,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1063,Fabricação de farinha de mandioca e derivados,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1064,"Fabricação de farinha de milho e derivados, exceto óleos de milho",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1065,Fabricação de amidos e féculas de vegetais e de óleos de milho,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1066,Fabricação de alimentos para animais,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1069,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1071,Fabricação de açúcar em bruto,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação e refino de açúcar
1072,Fabricação de açúcar refinado,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação e refino de açúcar
1081,Torrefação e moagem de café,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Torrefação e moagem de café
1082,Fabricação de produtos à base de café,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Torrefação e moagem de café
1091,Fabricação de produtos de panificação,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de outros produtos alimentícios
1092,Fabricação de biscoitos e bolachas,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de outros produtos alimentícios
1093,"Fabricação de produtos derivados do cacau, de chocolates e confeitos",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de outros produtos alimentícios
1094,Fabricação de massas alimentícias,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de outros produtos alimentícios
1095,"Fabricação de especiarias, molhos, temperos e condimentos",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de outros produtos alimentícios
1096,Fabricação de alimentos e pratos prontos,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de outros produtos alimentícios
1099,Fabricação de produtos alimentícios não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Fabricação de outros produtos alimentícios
1111,Fabricação de aguardentes e outras bebidas destiladas,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE BEBIDAS,Fabricação de bebidas alcoólicas
1112,Fabricação de vinho,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE BEBIDAS,Fabricação de bebidas alcoólicas
1113,"Fabricação de malte, cervejas e chopes",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE BEBIDAS,Fabricação de bebidas alcoólicas
1121,Fabricação de águas envasadas,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE BEBIDAS,Fabricação de bebidas não-alcoólicas
1122,Fabricação de refrigerantes e de outras bebidas não-alcoólicas,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE BEBIDAS,Fabricação de bebidas não-alcoólicas
1210,Processamento industrial do fumo,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS DO FUMO,Processamento industrial do fumo
1220,Fabricação de produtos do fumo,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS DO FUMO,Fabricação de produtos do fumo
1311,Preparação e fiação de fibras de algodão,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,Preparação e fiação de fibras têxteis
1312,"Preparação e fiação de fibras têxteis naturais, exceto algodão",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,Preparação e fiação de fibras têxteis
1313,Fiação de fibras artificiais e sintéticas,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,Preparação e fiação de fibras têxteis
1314,Fabricação de linhas para costurar e bordar,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,Preparação e fiação de fibras têxteis
1321,Tecelagem de fios de algodão,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Tecelagem, exceto malha"
1322,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Tecelagem, exceto malha"
1323,Tecelagem de fios de fibras artificiais e sintéticas,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Tecelagem, exceto malha"
1330,Fabricação de tecidos de malha,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,Fabricação de tecidos de malha
1340,"Acabamentos em fios, tecidos e artefatos têxteis",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Acabamentos em fios, tecidos e artefatos têxteis"
1351,Fabricação de artefatos têxteis para uso doméstico,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Fabricação de artefatos têxteis, exceto vestuário"
1352,Fabricação de artefatos de tapeçaria,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Fabricação de artefatos têxteis, exceto vestuário"
1353,Fabricação de artefatos de cordoaria,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Fabricação de artefatos têxteis, exceto vestuário"
1354,"Fabricação de tecidos especiais, inclusive artefatos",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Fabricação de artefatos têxteis, exceto vestuário"
1359,Fabricação de outros produtos têxteis não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS TÊXTEIS,"Fabricação de artefatos têxteis, exceto vestuário"
1411,Confecção de roupas íntimas,INDÚSTRIAS DE TRANSFORMAÇÃO,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Confecção de artigos do vestuário e acessórios
1412,"Confecção de peças do vestuário, exceto roupas íntimas",INDÚSTRIAS DE TRANSFORMAÇÃO,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Confecção de artigos do vestuário e acessórios
1413,Confecção de roupas profissionais,INDÚSTRIAS DE TRANSFORMAÇÃO,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Confecção de artigos do vestuário e acessórios
1414,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",INDÚSTRIAS DE TRANSFORMAÇÃO,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Confecção de artigos do vestuário e acessórios
1421,Fabricação de meias,INDÚSTRIAS DE TRANSFORMAÇÃO,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Fabricação de artigos de malharia e tricotagem
1422,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",INDÚSTRIAS DE TRANSFORMAÇÃO,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Fabricação de artigos de malharia e tricotagem
1510,Curtimento e outras preparações de couro,INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",Curtimento e outras preparações de couro
1521,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",Fabricação de artigos para viagem e de artefatos diversos de couro
1529,Fabricação de artefatos de couro não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",Fabricação de artigos para viagem e de artefatos diversos de couro
1531,Fabricação de calçados de couro,INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",Fabricação de calçados
1532,Fabricação de tênis de qualquer material,INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",Fabricação de calçados
1533,Fabricação de calçados de material sintético,INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",Fabricação de calçados
1539,Fabricação de calçados de materiais não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",Fabricação de calçados
1540,"Fabricação de partes para calçados, de qualquer material",INDÚSTRIAS DE TRANSFORMAÇÃO,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS","Fabricação de partes para calçados, de qualquer material"
1610,Desdobramento de madeira,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Desdobramento de madeira
1621,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS DE MADEIRA,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
1622,Fabricação de estruturas de madeira e de artigos de carpintaria para construção,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS DE MADEIRA,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
1623,Fabricação de artefatos de tanoaria e de embalagens de madeira,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS DE MADEIRA,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
1629,"Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis",INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS DE MADEIRA,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
1710,Fabricação de celulose e outras pastas para a fabricação de papel,INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Fabricação de celulose e outras pastas para a fabricação de papel
1721,Fabricação de papel,INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de papel, cartolina e papel-cartão"
1722,Fabricação de cartolina e papel-cartão,INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de papel, cartolina e papel-cartão"
1731,Fabricação de embalagens de papel,INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
1732,Fabricação de embalagens de cartolina e papel-cartão,INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
1733,Fabricação de chapas e de embalagens de papelão ondulado,INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
1741,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
1742,Fabricação de produtos de papel para usos doméstico e higiênico-sanitário,INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
1749,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",INDÚSTRIAS DE TRANSFORMAÇÃO,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
1811,"Impressão de jornais, livros, revistas e outras publicações periódicas",INDÚSTRIAS DE TRANSFORMAÇÃO,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,Atividade de impressão
1812,Impressão de material de segurança,INDÚSTRIAS DE TRANSFORMAÇÃO,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,Atividade de impressão
